,district,state,district_census_code,state_census_code,total,rural,urban
411,Uttar Bastar Kanker,Chhattisgarh,413,22,4.7,5.0,
98,Hanumangarh,Rajasthan,100,8,4.6,4.3,
558,Gadag,Karnataka,561,29,4.6,3.5,6.1
78,Hisar,Haryana,80,6,4.6,5.6,2.8
4,Punch,Jammu & Kashmir,5,1,4.6,4.8,
569,Bangalore,Karnataka,572,29,4.6,,3.8
20,Jammu,Jammu & Kashmir,21,1,4.6,7.1,1.6
119,Bundi,Rajasthan,121,8,4.6,5.5,
71,Kaithal,Haryana,73,6,4.6,5.6,
166,Hamirpur,Uttar Pradesh,168,9,4.5,5.3,
72,Karnal,Haryana,74,6,4.5,3.6,6.9
161,Kanpur Dehat,Uttar Pradesh,163,9,4.5,5.0,
617,Pudukkottai,Tamil Nadu,621,33,4.5,5.8,
158,Kannauj,Uttar Pradesh,160,9,4.5,4.9,
101,Jhunjhunun,Rajasthan,103,8,4.5,3.9,
118,Tonk,Rajasthan,120,8,4.5,5.3,
82,Mahendragarh,Haryana,84,6,4.5,5.1,
621,Virudhunagar,Tamil Nadu,625,33,4.4,6.7,2.1
431,Mandsaur,Madhya Pradesh,433,23,4.4,6.1,
427,Satna,Madhya Pradesh,429,23,4.4,4.9,
275,Imphal West,Manipur,277,14,4.4,8.8,1.6
626,Dharmapuri,Tamil Nadu,630,33,4.4,5.6,
252,Tirap,Arunachal Pradesh,254,12,4.4,5.0,
406,Rajnandgaon,Chhattisgarh,408,22,4.4,3.7,
154,Unnao,Uttar Pradesh,156,9,4.4,5.2,
504,Gondiya,Maharashtra,507,27,4.4,5.1,
531,Karimnagar,Telangana,534,28,4.4,6.1,
443,Sehore,Madhya Pradesh,445,23,4.3,4.1,
448,Katni,Madhya Pradesh,450,23,4.3,4.7,
474,Rajkot,Gujarat,476,24,4.3,2.7,5.6
115,Sirohi,Rajasthan,117,8,4.3,4.7,
428,Rewa,Madhya Pradesh,430,23,4.3,5.0,
402,Korba,Chhattisgarh,404,22,4.3,5.6,2
500,Amravati,Maharashtra,503,27,4.3,6.8,1.1
191,Ballia,Uttar Pradesh,193,9,4.3,4.2,
79,Bhiwani,Haryana,81,6,4.3,4.0,
135,Jyotiba Phule Nagar,Uttar Pradesh,137,9,4.3,5.0,
53,Barnala,Punjab,54,3,4.3,4.6,3.8
114,Jalor,Rajasthan,116,8,4.3,4.6,
446,Harda,Madhya Pradesh,448,23,4.2,4.1,
430,Neemuch,Madhya Pradesh,432,23,4.2,2.9,
45,Bathinda,Punjab,46,3,4.2,4.7,3.4
286,Saiha,Mizoram,288,15,4.2,6.6,2.6
576,Gulbarga,Karnataka,579,29,4.2,4.9,3.4
63,Champawat,Uttarakhand,65,5,4.2,3.4,
61,Bageshwar,Uttarakhand,63,5,4.1,4.3,
174,Bara Banki,Uttar Pradesh,176,9,4.1,4.4,
34,Gurdaspur,Punjab,35,3,4.1,4.2,
633,Karaikal,Puducherry,637,34,4.1,3.5,5
583,South Goa,Goa,586,30,4.1,1.2,5.9
490,Surat,Gujarat,492,24,4.1,,4.2
193,Ghazipur,Uttar Pradesh,195,9,4.1,4.4,
195,Varanasi,Uttar Pradesh,197,9,4.1,5.6,2.4
140,Bulandshahr,Uttar Pradesh,142,9,4.1,5.2,
75,Jind,Haryana,77,6,4.1,4.4,
70,Kurukshetra,Haryana,72,6,4.1,4.2,
44,Faridkot,Punjab,45,3,4.0,3.8,4.9
187,Kushinagar,Uttar Pradesh,189,9,4.0,3.9,
149,Pilibhit,Uttar Pradesh,151,9,4.0,4.4,
449,Jabalpur,Madhya Pradesh,451,23,4.0,7.6,0.9
145,Firozabad,Uttar Pradesh,147,9,4.0,4.4,3.3
588,Malappuram,Kerala,592,32,4.0,4.7,3.3
473,Surendranagar,Gujarat,475,24,4.0,4.2,
598,Thiruvallur,Tamil Nadu,602,33,3.9,5.9,2.8
636,South Andaman,Andaman & Nicobar Islands,640,35,3.9,5.3,3.1
77,Sirsa,Haryana,79,6,3.9,4.9,
31,Sirmaur,Himachal Pradesh,32,2,3.9,4.5,
16,Ramban,Jammu & Kashmir,17,1,3.9,4.0,
91,East,NCT Delhi,93,7,3.9,,3.9
185,Maharajganj,Uttar Pradesh,187,9,3.9,3.9,
391,Balangir,Odisha,393,21,3.9,3.5,
59,Garhwal,Uttarakhand,61,5,3.9,4.5,
277,Ukhrul,Manipur,279,14,3.9,5.2,
454,Seoni,Madhya Pradesh,456,23,3.8,4.2,
403,Janjgir Champa,Chhattisgarh,405,22,3.8,3.9,
182,Siddharthnagar,Uttar Pradesh,184,9,3.8,4.1,
419,Gwalior,Madhya Pradesh,421,23,3.8,8.6,1.5
127,Jhalawar,Rajasthan,129,8,3.8,4.4,
