,district,state,district_census_code,state_census_code,total,rural,urban
543,West Godavari,Andhra Pradesh,546,28,75.7,75.8,
544,Krishna,Andhra Pradesh,547,28,73.2,74.6,70.7
545,Guntur,Andhra Pradesh,548,28,72.9,74.9,69.6
547,Sri Potti Sriramulu Nellore,Andhra Pradesh,550,28,70.7,70.9,
546,Prakasam,Andhra Pradesh,549,28,70.3,71.9,
542,East Godavari,Andhra Pradesh,545,28,70.1,73,
540,Vizianagaram,Andhra Pradesh,543,28,70,69.2,
630,Yanam,Puducherry,634,34,68.5,,68.5
538,Khammam,Telangana,541,28,68.2,69,
454,Seoni,Madhya Pradesh,456,23,66.4,68.1,
536,Nalgonda,Telangana,539,28,66.4,65.5,
541,Visakhapatnam,Andhra Pradesh,544,28,66.1,62,70
539,Srikakulam,Andhra Pradesh,542,28,66.1,68.5,
534,Rangareddy,Telangana,537,28,66,,65.3
549,Kurnool,Andhra Pradesh,552,28,65.9,67.3,
410,Dhamtari,Chhattisgarh,412,22,65,67.3,
501,Wardha,Maharashtra,504,27,65,71.2,52.5
550,Anantapur,Andhra Pradesh,553,28,65,64.9,
579,Chikkaballapura,Karnataka,582,29,64.1,69.2,
535,Mahbubnagar,Telangana,538,28,64,65.9,
505,Gadchiroli,Maharashtra,508,27,62.8,61.8,
438,Khargone (West Nimar),Madhya Pradesh,440,23,62.7,65.8,
506,Chandrapur,Maharashtra,509,27,62.3,66.3,54.6
499,Washim,Maharashtra,502,27,62,64.4,
628,Coimbatore,Tamil Nadu,632,33,61.8,,62.4
601,Vellore,Tamil Nadu,605,33,61.7,62.4,61.1
451,Dindori,Madhya Pradesh,453,23,61.2,62.3,
563,Chitradurga,Karnataka,566,29,61.1,62.6,
631,Puducherry,Puducherry,635,34,60.9,58.8,61.8
629,Tiruppur,Tamil Nadu,633,33,60.9,62.6,60
507,Yavatmal,Maharashtra,510,27,60.5,66.7,
578,Kolar,Karnataka,581,29,60.4,63,56.2
568,Tumkur,Karnataka,571,29,59.8,59.6,
522,Osmanabad,Maharashtra,525,27,59.7,61.5,
453,Chhindwara,Madhya Pradesh,455,23,59.5,62.4,
627,Krishnagiri,Tamil Nadu,631,33,58.9,61.7,
570,Mandya,Karnataka,573,29,58.9,62.4,
598,Thiruvallur,Tamil Nadu,602,33,58.8,62.2,57.1
523,Solapur,Maharashtra,526,27,58.6,60.2,55.5
548,Y.S.R. Cuddapah,Andhra Pradesh,551,28,58.6,60.5,55.4
551,Chittoor,Andhra Pradesh,554,28,58.3,60.9,
521,Latur,Maharashtra,524,27,58.1,59.6,
464,Khandwa (East Nimar),Madhya Pradesh,466,23,58.1,61.5,
503,Bhandara,Maharashtra,506,27,58,60.3,
558,Gadag,Karnataka,561,29,57.9,58.2,57.4
606,Erode,Tamil Nadu,610,33,57.8,57.8,57.7
592,Idukki,Kerala,596,32,57.8,58.1,
509,Hingoli,Maharashtra,512,27,57.3,59,
608,Dindigul,Tamil Nadu,612,33,57.2,60.1,52.4
600,Kancheepuram,Tamil Nadu,604,33,57.2,67.2,51.8
409,Mahasamund,Chhattisgarh,411,22,57.1,57.7,
452,Mandla,Madhya Pradesh,454,23,57.1,58.8,
555,Bidar,Karnataka,558,29,57,57,
590,Thrissur,Kerala,594,32,56.9,56.1,57.3
524,Satara,Maharashtra,527,27,56.9,60,
554,Bijapur,Karnataka,557,29,56.8,58.1,
552,Belgaum,Karnataka,555,29,56.7,58.1,
599,Chennai,Tamil Nadu,603,33,56.7,,56.7
605,Namakkal,Tamil Nadu,609,33,56.5,56.6,56.3
500,Amravati,Maharashtra,503,27,56.3,59,52
510,Parbhani,Maharashtra,513,27,56.1,60.5,46
580,Bangalore Rural,Karnataka,583,29,56.1,57.9,
407,Durg,Chhattisgarh,409,22,55.5,60.4,48.2
518,Pune,Maharashtra,521,27,55.5,60.9,52.2
559,Dharwad,Karnataka,562,29,55.4,64.8,48.9
564,Davanagere,Karnataka,567,29,55.1,59.2,47.5
504,Gondiya,Maharashtra,507,27,55,55.7,
607,The Nilgiris,Tamil Nadu,611,33,55,64.7,48.4
581,Ramanagara,Karnataka,584,29,54.8,59.5,
553,Bagalkot,Karnataka,556,29,54.3,54.3,54.2
508,Nanded,Maharashtra,511,27,54.3,57.1,
520,Bid,Maharashtra,523,27,54.2,57.6,
449,Jabalpur,Madhya Pradesh,451,23,54.1,67.8,42.8
405,Kabirdham,Chhattisgarh,407,22,54.1,54.8,
495,Dhule,Maharashtra,498,27,53.9,56,
533,Hyderabad,Telangana,536,28,53.7,,53.7
589,Palakkad,Kerala,593,32,53.5,54.7,
576,Gulbarga,Karnataka,579,29,53.4,55.7,49.8
98,Hanumangarh,Rajasthan,100,8,53.4,56.3,
556,Raichur,Karnataka,559,29,53.3,55.3,
444,Raisen,Madhya Pradesh,446,23,53.1,56,
613,Cuddalore,Tamil Nadu,617,33,53,55.8,47.7
165,Lalitpur,Uttar Pradesh,167,9,52.9,56,
496,Jalgaon,Maharashtra,499,27,52.7,56.5,42.1
403,Janjgir Champa,Chhattisgarh,405,22,52.6,53,
502,Nagpur,Maharashtra,505,27,52.4,68.1,45.5
626,Dharmapuri,Tamil Nadu,630,33,52.2,52.2,
574,Mysore,Karnataka,577,29,52.2,60.6,40.5
615,Thiruvarur,Tamil Nadu,619,33,52.1,54.3,
488,Navsari,Gujarat,490,24,51.9,57.6,40.3
445,Betul,Madhya Pradesh,447,23,51.8,55.8,
614,Nagapattinam,Tamil Nadu,618,33,51.8,53.5,
26,Mandi,Himachal Pradesh,27,2,51.8,53.6,
68,Ambala,Haryana,70,6,51.8,51.7,51.9
498,Akola,Maharashtra,501,27,51.7,55.2,45.6
420,Datia,Madhya Pradesh,422,23,51.6,53.9,
513,Nashik,Maharashtra,516,27,51.6,61.6,42.4
455,Balaghat,Madhya Pradesh,457,23,51.5,51.9,
609,Karur,Tamil Nadu,613,33,51.3,51.2,51.6
571,Hassan,Karnataka,574,29,51.1,52.9,
126,Baran,Rajasthan,128,8,50.9,52.4,
78,Hisar,Haryana,80,6,50.8,54.2,42.7
511,Jalna,Maharashtra,514,27,50.7,54.9,
60,Pithoragarh,Uttarakhand,62,5,50.5,53.3,
587,Kozhikode,Kerala,591,32,50.4,46.7,52.6
497,Buldhana,Maharashtra,500,27,50.4,55.6,
421,Shivpuri,Madhya Pradesh,423,23,50.3,53.5,
30,Solan,Himachal Pradesh,31,2,50.2,54.6,
81,Jhajjar,Haryana,83,6,50.2,52.7,
54,Uttarkashi,Uttarakhand,56,5,50.1,51.5,
358,Hazaribagh,Jharkhand,360,20,50.1,50.8,
635,North & Middle Andaman,Andaman & Nicobar Islands,639,35,50,50.2,
485,Narmada,Gujarat,487,24,49.9,50.9,
591,Ernakulam,Kerala,595,32,49.9,48,50.8
42,Firozpur,Punjab,43,3,49.7,53,
562,Bellary,Karnataka,565,29,49.6,48.4,51.4
49,Tarn Taran,Punjab,50,3,49.6,50.2,
75,Jind,Haryana,77,6,49.6,51.8,
406,Rajnandgaon,Chhattisgarh,408,22,49.3,50.1,
575,Chamarajanagar,Karnataka,578,29,49.3,47.4,
457,Ashoknagar,Madhya Pradesh,459,23,49.2,53.1,
408,Raipur,Chhattisgarh,410,22,49.1,52,44.4
43,Muktsar,Punjab,44,3,49,51.2,
456,Guna,Madhya Pradesh,458,23,48.7,52.7,
486,Bharuch,Gujarat,488,24,48.4,54.3,38.1
561,Haveri,Karnataka,564,29,48.4,48.5,
44,Faridkot,Punjab,45,3,48.1,48.7,46.6
74,Sonipat,Haryana,76,6,47.9,48.4,46.8
494,Nandurbar,Maharashtra,497,27,47.8,48.7,
416,Sheopur,Madhya Pradesh,418,23,47.7,49.6,
527,Kolhapur,Maharashtra,530,27,47.6,50.6,40.9
603,Viluppuram,Tamil Nadu,607,33,47.5,46.3,
604,Salem,Tamil Nadu,608,33,47.4,46.3,48.5
127,Jhalawar,Rajasthan,129,8,47.4,48.8,
