,district,state,district_census_code,state_census_code,total,rural,urban
117,Ajmer,Rajasthan,119,8,11.4,8.2,16.7
54,Uttarkashi,Uttarakhand,56,5,11.3,10.6,
437,Indore,Madhya Pradesh,439,23,11.1,,12.9
21,Samba,Jammu & Kashmir,22,1,11.1,11.0,
143,Mathura,Uttar Pradesh,145,9,11.1,8.6,
111,Jodhpur,Rajasthan,113,8,10.8,7.5,17.2
174,Bara Banki,Uttar Pradesh,176,9,10.6,7.5,
499,Washim,Maharashtra,502,27,10.5,8.6,
157,Farrukhabad,Uttar Pradesh,159,9,10.5,8.2,
63,Champawat,Uttarakhand,65,5,10.4,8.9,
122,Dungarpur,Rajasthan,124,8,10.4,10.3,
419,Gwalior,Madhya Pradesh,421,23,10.3,4.6,13.4
98,Hanumangarh,Rajasthan,100,8,10.3,9.6,
127,Jhalawar,Rajasthan,129,8,10.2,8.4,
154,Unnao,Uttar Pradesh,156,9,10.1,8.4,
92,New Delhi,NCT Delhi,94,7,10.1,,10.1
498,Akola,Maharashtra,501,27,9.9,9.1,11.5
82,Mahendragarh,Haryana,84,6,9.8,8.4,
511,Jalna,Maharashtra,514,27,9.6,9.1,
14,Kulgam,Jammu & Kashmir,15,1,9.6,9.9,
81,Jhajjar,Haryana,83,6,9.6,6.3,
84,Gurgaon,Haryana,86,6,9.6,7.7,10.2
160,Auraiya,Uttar Pradesh,162,9,9.5,9.2,
22,Chamba,Himachal Pradesh,23,2,9.5,9.3,
118,Tonk,Rajasthan,120,8,9.4,5.4,
7,Baramula,Jammu & Kashmir,8,1,9.4,7.5,
335,North Twenty Four Parganas,West Bengal,337,19,9.4,7.0,11.4
325,Darjiling,West Bengal,327,19,9.3,6.5,14.2
239,North District,Sikkim,241,11,9.2,6.1,
27,Hamirpur,Himachal Pradesh,28,2,9.1,9.1,
472,Ahmadabad,Gujarat,474,24,9.1,,10.3
515,Mumbai Suburban,Maharashtra,518,27,8.9,,8.9
119,Bundi,Rajasthan,121,8,8.9,6.3,
167,Mahoba,Uttar Pradesh,169,9,8.8,5.7,
158,Kannauj,Uttar Pradesh,160,9,8.8,7.7,
163,Jalaun,Uttar Pradesh,165,9,8.8,7.2,
514,Thane,Maharashtra,517,27,8.8,,10.3
444,Raisen,Madhya Pradesh,446,23,8.7,6.0,
116,Pali,Rajasthan,118,8,8.7,7.1,
166,Hamirpur,Uttar Pradesh,168,9,8.6,8.1,
500,Amravati,Maharashtra,503,27,8.6,6.8,11.5
83,Rewari,Haryana,85,6,8.6,6.9,
109,Sikar,Rajasthan,111,8,8.6,6.6,
195,Varanasi,Uttar Pradesh,197,9,8.5,5.7,12.2
74,Sonipat,Haryana,76,6,8.5,8.3,8.9
8,Bandipore,Jammu & Kashmir,9,1,8.5,8.0,
518,Pune,Maharashtra,521,27,8.4,5.1,10.3
128,Udaipur,Rajasthan,130,8,8.3,5.5,
159,Etawah,Uttar Pradesh,161,9,8.3,6.9,
56,Rudraprayag,Uttarakhand,58,5,8.3,6.8,
404,Bilaspur,Chhattisgarh,406,22,8.3,5.3,
61,Bageshwar,Uttarakhand,63,5,8.2,7.8,
86,Faridabad,Haryana,88,6,8.1,,8.8
440,Rajgarh,Madhya Pradesh,442,23,8.1,5.7,
465,Burhanpur,Madhya Pradesh,467,23,8.1,4.8,14.0
398,Korea,Chhattisgarh,400,22,8.1,6.5,12.1
175,Faizabad,Uttar Pradesh,177,9,8.1,6.8,
153,Hardoi,Uttar Pradesh,155,9,8.0,7.8,
26,Mandi,Himachal Pradesh,27,2,7.9,6.6,
2,Leh(Ladakh),Jammu & Kashmir,3,1,7.9,6.6,10.3
73,Panipat,Haryana,75,6,7.9,6.0,9.6
490,Surat,Gujarat,492,24,7.9,,7.7
147,Budaun,Uttar Pradesh,149,9,7.8,5.6,
101,Jhunjhunun,Rajasthan,103,8,7.7,6.3,
341,South Twenty Four Parganas,West Bengal,343,19,7.7,5.1,
55,Chamoli,Uttarakhand,57,5,7.7,7.4,
199,Etah,Uttar Pradesh,201,9,7.7,7.4,
24,Lahul and Spiti,Himachal Pradesh,25,2,7.6,7.6,
11,Pulwama,Jammu & Kashmir,12,1,7.6,7.5,
13,Anantnag,Jammu & Kashmir,14,1,7.6,8.0,
443,Sehore,Madhya Pradesh,445,23,7.6,6.7,
339,Haora,West Bengal,341,19,7.5,4.6,9.5
164,Jhansi,Uttar Pradesh,166,9,7.5,4.5,11.3
5,Rajouri,Jammu & Kashmir,6,1,7.5,7.0,
161,Kanpur Dehat,Uttar Pradesh,163,9,7.4,6.0,
168,Banda,Uttar Pradesh,170,9,7.3,6.4,
29,Bilaspur,Himachal Pradesh,30,2,7.3,7.0,
456,Guna,Madhya Pradesh,458,23,7.3,3.5,
513,Nashik,Maharashtra,516,27,7.3,4.5,9.9
126,Baran,Rajasthan,128,8,7.3,6.3,
4,Punch,Jammu & Kashmir,5,1,7.3,6.8,
582,North Goa,Goa,585,30,7.2,3.9,9.1
152,Sitapur,Uttar Pradesh,154,9,7.2,6.5,
120,Bhilwara,Rajasthan,122,8,7.2,4.6,
507,Yavatmal,Maharashtra,510,27,7.0,3.2,
434,Shajapur,Madhya Pradesh,436,23,7.0,4.6,
19,Reasi,Jammu & Kashmir,20,1,7.0,6.9,
129,Pratapgarh,Rajasthan,131,8,7.0,5.5,
496,Jalgaon,Maharashtra,499,27,6.9,6.0,9.5
3,Kargil,Jammu & Kashmir,4,1,6.9,6.3,
583,South Goa,Goa,586,30,6.8,5.2,7.6
189,Azamgarh,Uttar Pradesh,191,9,6.8,5.3,
517,Raigarh,Maharashtra,520,27,6.7,5.3,8.0
486,Bharuch,Gujarat,488,24,6.7,3.7,11.8
186,Gorakhpur,Uttar Pradesh,188,9,6.7,4.9,
510,Parbhani,Maharashtra,513,27,6.6,4.0,12.6
509,Hingoli,Maharashtra,512,27,6.5,5.3,
469,Mahesena,Gujarat,471,24,6.5,5.6,
336,Hugli,West Bengal,338,19,6.5,3.8,12.0
520,Bid,Maharashtra,523,27,6.5,6.7,
386,Ganjam,Odisha,388,21,6.5,2.8,
330,Maldah,West Bengal,332,19,6.5,5.9,
176,Ambedkar Nagar,Uttar Pradesh,178,9,6.4,6.4,
369,Jharsuguda,Odisha,371,21,6.3,5.2,7.8
378,Jagatsinghapur,Odisha,380,21,6.3,5.7,
474,Rajkot,Gujarat,476,24,6.3,2.5,8.5
435,Dewas,Madhya Pradesh,437,23,6.2,3.7,
0,Kupwara,Jammu & Kashmir,1,1,6.2,7.3,
100,Churu,Rajasthan,102,8,6.1,4.9,
102,Alwar,Rajasthan,104,8,6.1,4.2,
501,Wardha,Maharashtra,504,27,6.1,3.5,11.3
433,Ujjain,Madhya Pradesh,435,23,6.0,2.1,12.2
446,Harda,Madhya Pradesh,448,23,6.0,3.9,
12,Shupiyan,Jammu & Kashmir,13,1,6.0,6.2,
471,Gandhinagar,Gujarat,473,24,5.9,5.3,6.5
188,Deoria,Uttar Pradesh,190,9,5.8,5.4,
173,Allahabad,Uttar Pradesh,175,9,5.8,2.3,
124,Chittaurgarh,Rajasthan,126,8,5.8,3.6,
503,Bhandara,Maharashtra,506,27,5.8,4.6,
402,Korba,Chhattisgarh,404,22,5.8,2.9,10.9
593,Kottayam,Kerala,597,32,5.7,5.6,
447,Hoshangabad,Madhya Pradesh,449,23,5.7,4.6,8.1
110,Nagaur,Rajasthan,112,8,5.6,4.7,
103,Bharatpur,Rajasthan,105,8,5.6,4.0,
346,Kodarma,Jharkhand,348,20,5.6,2.9,
112,Jaisalmer,Rajasthan,114,8,5.6,4.7,
123,Banswara,Rajasthan,125,8,5.6,4.9,
477,Junagadh,Gujarat,479,24,5.6,2.7,11.5
177,Sultanpur,Uttar Pradesh,179,9,5.6,4.9,
418,Bhind,Madhya Pradesh,420,23,5.5,5.5,
635,North & Middle Andaman,Andaman & Nicobar Islands,639,35,5.5,5.8,
522,Osmanabad,Maharashtra,525,27,5.5,5.5,
457,Ashoknagar,Madhya Pradesh,459,23,5.5,2.2,
241,South District,Sikkim,243,11,5.5,5.2,
240,West District,Sikkim,242,11,5.4,5.5,
172,Kaushambi,Uttar Pradesh,174,9,5.4,4.9,
165,Lalitpur,Uttar Pradesh,167,9,5.4,3.1,
445,Betul,Madhya Pradesh,447,23,5.4,3.5,
464,Khandwa (East Nimar),Madhya Pradesh,466,23,5.3,3.4,
506,Chandrapur,Maharashtra,509,27,5.3,2.9,10.0
385,Puri,Odisha,387,21,5.2,3.9,
314,Cachar,Assam,316,18,5.2,5.5,
106,Sawai Madhopur,Rajasthan,108,8,5.2,3.3,
449,Jabalpur,Madhya Pradesh,451,23,5.2,1.8,7.9
182,Siddharthnagar,Uttar Pradesh,184,9,5.1,4.9,
115,Sirohi,Rajasthan,117,8,5.1,4.5,
87,Palwal,Haryana,89,6,5.1,4.4,
104,Dhaulpur,Rajasthan,106,8,5.0,4.0,
320,Kamrup Metropolitan,Assam,322,18,5.0,,6.1
196,Sant Ravidas Nagar,Uttar Pradesh,198,9,5.0,4.1,
329,Dakshin Dinajpur,West Bengal,331,19,5.0,4.5,
332,Birbhum,West Bengal,334,19,4.9,4.8,
380,Jajapur,Odisha,382,21,4.9,4.1,
156,Rae Bareli,Uttar Pradesh,158,9,4.9,3.7,
333,Barddhaman,West Bengal,335,19,4.9,3.1,7.6
105,Karauli,Rajasthan,107,8,4.8,3.5,
420,Datia,Madhya Pradesh,422,23,4.8,2.4,
377,Kendrapara,Odisha,379,21,4.8,4.9,
114,Jalor,Rajasthan,116,8,4.8,4.1,
476,Porbandar,Gujarat,478,24,4.8,1.7,8.3
384,Khordha,Odisha,386,21,4.7,3.1,6.0
436,Dhar,Madhya Pradesh,438,23,4.7,3.1,
170,Fatehpur,Uttar Pradesh,172,9,4.6,4.6,
343,Purba Medinipur,West Bengal,345,19,4.6,3.2,
328,Uttar Dinajpur,West Bengal,330,19,4.6,2.7,
16,Ramban,Jammu & Kashmir,17,1,4.6,4.4,
193,Ghazipur,Uttar Pradesh,195,9,4.6,4.2,
406,Rajnandgaon,Chhattisgarh,408,22,4.6,3.4,
413,Narayanpur,Chhattisgarh,415,22,4.6,4.0,
441,Vidisha,Madhya Pradesh,443,23,4.5,3.4,
183,Basti,Uttar Pradesh,185,9,4.5,3.5,
17,Kishtwar,Jammu & Kashmir,18,1,4.5,4.8,
255,Dibang Valley,Arunachal Pradesh,257,12,4.5,4.5,
242,East District,Sikkim,244,11,4.5,4.4,4.6
362,Ranchi,Jharkhand,364,20,4.4,2.6,6.8
107,Dausa,Rajasthan,109,8,4.3,2.8,
316,Hailakandi,Assam,318,18,4.3,4.3,
495,Dhule,Maharashtra,498,27,4.2,2.1,
373,Kendujhar,Odisha,375,21,4.2,2.1,
480,Anand,Gujarat,482,24,4.2,3.2,6.6
473,Surendranagar,Gujarat,475,24,4.2,5.0,
475,Jamnagar,Gujarat,477,24,4.2,2.8,5.5
198,Sonbhadra,Uttar Pradesh,200,9,4.1,2.0,
113,Barmer,Rajasthan,115,8,4.1,2.8,
438,Khargone (West Nimar),Madhya Pradesh,440,23,4.1,2.9,
407,Durg,Chhattisgarh,409,22,4.0,2.4,6.3
423,Chhatarpur,Madhya Pradesh,425,23,4.0,2.3,
151,Kheri,Uttar Pradesh,153,9,4.0,4.1,
326,Jalpaiguri,West Bengal,328,19,4.0,4.3,
383,Nayagarh,Odisha,385,21,3.9,3.1,
439,Barwani,Madhya Pradesh,441,23,3.9,2.3,
470,Sabarkantha,Gujarat,472,24,3.9,3.5,
526,Sindhudurg,Maharashtra,529,27,3.9,3.7,
492,Diu,Daman & Diu,494,25,3.9,5.1,2.6
505,Gadchiroli,Maharashtra,508,27,3.9,3.5,
315,Karimganj,Assam,317,18,3.9,3.1,
636,South Andaman,Andaman & Nicobar Islands,640,35,3.9,5.6,2.8
250,Upper Siang,Arunachal Pradesh,252,12,3.9,3.9,
190,Mau,Uttar Pradesh,192,9,3.8,2.6,
400,Jashpur,Chhattisgarh,402,22,3.8,3.9,
488,Navsari,Gujarat,490,24,3.8,2.1,7.5
361,Jamtara,Jharkhand,363,20,3.8,3.6,
372,Sundargarh,Odisha,374,21,3.8,2.7,5.9
370,Sambalpur,Odisha,372,21,3.7,3.2,
431,Mandsaur,Madhya Pradesh,433,23,3.7,3.2,
192,Jaunpur,Uttar Pradesh,194,9,3.7,3.2,
352,Dhanbad,Jharkhand,354,20,3.7,2.6,4.6
528,Sangli,Maharashtra,531,27,3.7,2.9,
417,Morena,Madhya Pradesh,419,23,3.7,3.6,
421,Shivpuri,Madhya Pradesh,423,23,3.7,2.2,
304,Sonitpur,Assam,306,18,3.6,1.2,
521,Latur,Maharashtra,524,27,3.6,2.9,
453,Chhindwara,Madhya Pradesh,455,23,3.6,1.9,
569,Bangalore,Karnataka,572,29,3.6,,3.7
187,Kushinagar,Uttar Pradesh,189,9,3.6,3.4,
597,Thiruvananthapuram,Kerala,601,32,3.6,1.8,5.0
388,Kandhamal,Odisha,390,21,3.5,3.1,
425,Sagar,Madhya Pradesh,427,23,3.5,2.9,
633,Karaikal,Puducherry,637,34,3.5,2.3,4.7
508,Nanded,Maharashtra,511,27,3.5,2.8,
504,Gondiya,Maharashtra,507,27,3.5,2.9,
489,Valsad,Gujarat,491,24,3.5,2.9,4.6
299,Dhubri,Assam,301,18,3.5,2.9,
595,Pathanamthitta,Kerala,599,32,3.5,3.6,
194,Chandauli,Uttar Pradesh,196,9,3.4,2.2,
484,Vadodara,Gujarat,486,24,3.4,0.4,6.3
468,Patan,Gujarat,470,24,3.4,3.0,
527,Kolhapur,Maharashtra,530,27,3.4,2.3,5.9
519,Ahmednagar,Maharashtra,522,27,3.4,2.5,
334,Nadia,West Bengal,336,19,3.4,3.3,
331,Murshidabad,West Bengal,333,19,3.4,3.4,
403,Janjgir Champa,Chhattisgarh,405,22,3.4,3.1,
318,Chirang,Assam,320,18,3.4,3.4,
323,Darrang,Assam,325,18,3.3,3.4,
427,Satna,Madhya Pradesh,429,23,3.3,2.8,
390,Subarnapur,Odisha,392,21,3.3,3.2,
591,Ernakulam,Kerala,595,32,3.2,2.0,3.8
381,Dhenkanal,Odisha,383,21,3.2,2.3,
416,Sheopur,Madhya Pradesh,418,23,3.2,2.3,
337,Bankura,West Bengal,339,19,3.2,2.2,
15,Doda,Jammu & Kashmir,16,1,3.2,3.4,
307,Tinsukia,Assam,309,18,3.1,2.0,
401,Raigarh,Chhattisgarh,403,22,3.1,2.1,
374,Mayurbhanj,Odisha,376,21,3.1,2.3,
411,Uttar Bastar Kanker,Chhattisgarh,413,22,3.1,2.1,
353,Bokaro,Jharkhand,355,20,3.0,1.5,4.5
301,Barpeta,Assam,303,18,3.0,3.0,
169,Chitrakoot,Uttar Pradesh,171,9,3.0,2.1,
481,Kheda,Gujarat,483,24,3.0,3.4,
422,Tikamgarh,Madhya Pradesh,424,23,3.0,2.3,
395,Nabarangapur,Odisha,397,21,3.0,2.5,
181,Gonda,Uttar Pradesh,183,9,2.9,2.4,
466,Kachchh,Gujarat,468,24,2.9,2.2,4.5
408,Raipur,Chhattisgarh,410,22,2.9,1.5,5.0
494,Nandurbar,Maharashtra,497,27,2.9,2.2,
399,Surguja,Chhattisgarh,401,22,2.8,1.6,
525,Ratnagiri,Maharashtra,528,27,2.8,2.4,
415,Bijapur,Chhattisgarh,417,22,2.8,2.3,
321,Nalbari,Assam,323,18,2.8,2.7,
485,Narmada,Gujarat,487,24,2.8,0.9,
171,Pratapgarh,Uttar Pradesh,173,9,2.8,2.5,
349,Godda,Jharkhand,351,20,2.8,2.8,
368,Bargarh,Odisha,370,21,2.8,2.7,
184,Sant Kabir Nagar,Uttar Pradesh,186,9,2.7,2.7,
393,Kalahandi,Odisha,395,21,2.7,2.7,
197,Mirzapur,Uttar Pradesh,199,9,2.7,1.9,
287,West Tripura,Tripura,289,16,2.7,1.8,3.8
524,Satara,Maharashtra,527,27,2.7,1.8,
308,Dibrugarh,Assam,310,18,2.7,1.9,
191,Ballia,Uttar Pradesh,193,9,2.7,2.2,
367,Saraikela Kharsawan,Jharkhand,369,20,2.7,0.4,
432,Ratlam,Madhya Pradesh,434,23,2.6,0.9,
303,Nagaon,Assam,305,18,2.6,1.7,
247,Upper Subansiri,Arunachal Pradesh,249,12,2.6,2.4,
594,Alappuzha,Kerala,598,32,2.6,2.7,2.5
327,Koch Bihar,West Bengal,329,19,2.6,2.0,
412,Bastar,Chhattisgarh,414,22,2.6,1.7,
560,Uttara Kannada,Karnataka,563,29,2.6,2.4,
85,Mewat,Haryana,87,6,2.6,1.7,
363,Khunti,Jharkhand,365,20,2.6,2.3,
355,Purbi Singhbhum,Jharkhand,357,20,2.6,0.9,3.9
263,Dimapur,Nagaland,265,13,2.5,2.4,2.6
178,Bahraich,Uttar Pradesh,180,9,2.5,2.1,
338,Puruliya,West Bengal,340,19,2.5,2.1,
295,Ribhoi,Meghalaya,297,17,2.5,2.4,
596,Kollam,Kerala,600,32,2.5,1.5,3.6
358,Hazaribagh,Jharkhand,360,20,2.5,2.3,
566,Udupi,Karnataka,569,29,2.4,2.4,
455,Balaghat,Madhya Pradesh,457,23,2.4,1.8,
590,Thrissur,Kerala,594,32,2.4,1.6,2.8
428,Rewa,Madhya Pradesh,430,23,2.4,1.1,
459,Anuppur,Madhya Pradesh,461,23,2.4,1.1,
302,Morigaon,Assam,304,18,2.4,2.0,
586,Wayanad,Kerala,590,32,2.3,2.1,
585,Kannur,Kerala,589,32,2.3,1.8,2.6
317,Bongaigaon,Assam,319,18,2.3,1.2,
429,Umaria,Madhya Pradesh,431,23,2.2,1.3,
268,Kohima,Nagaland,270,13,2.2,1.3,2.9
311,Golaghat,Assam,313,18,2.2,1.5,
523,Solapur,Maharashtra,526,27,2.2,2.5,1.5
251,Changlang,Arunachal Pradesh,253,12,2.2,1.9,
204,Sitamarhi,Bihar,206,10,2.2,2.2,
396,Koraput,Odisha,398,21,2.2,2.1,
296,East Khasi Hills,Meghalaya,298,17,2.2,0.7,3.9
450,Narsimhapur,Madhya Pradesh,452,23,2.2,1.1,
467,Banaskantha,Gujarat,469,24,2.1,2.0,
258,Anjaw,Arunachal Pradesh,260,12,2.1,2.2,
375,Baleshwar,Odisha,377,21,2.1,1.0,
587,Kozhikode,Kerala,591,32,2.1,1.6,2.4
252,Tirap,Arunachal Pradesh,254,12,2.1,1.2,
185,Maharajganj,Uttar Pradesh,187,9,2.1,1.3,
424,Panna,Madhya Pradesh,426,23,2.1,1.8,
379,Cuttack,Odisha,381,21,2.1,1.9,
430,Neemuch,Madhya Pradesh,432,23,2.0,1.6,
479,Bhavnagar,Gujarat,481,24,2.0,1.4,2.7
617,Pudukkottai,Tamil Nadu,621,33,2.0,1.7,
228,Patna,Bihar,230,10,2.0,0.9,3.2
276,Imphal East,Manipur,278,14,2.0,1.4,2.9
342,Paschim Medinipur,West Bengal,344,19,2.0,1.4,
281,Aizawl,Mizoram,283,15,1.9,,1.8
391,Balangir,Odisha,393,21,1.9,0.9,
260,Mokokchung,Nagaland,262,13,1.9,1.5,
365,Simdega,Jharkhand,367,20,1.9,1.0,
461,Singrauli,Madhya Pradesh,463,23,1.9,0.7,
298,Kokrajhar,Assam,300,18,1.8,1.4,
300,Goalpara,Assam,302,18,1.8,1.7,
310,Jorhat,Assam,312,18,1.8,1.8,
493,Daman,Daman & Diu,495,25,1.8,,2.0
478,Amreli,Gujarat,480,24,1.8,1.5,
463,Alirajpur,Madhya Pradesh,465,23,1.8,1.5,
454,Seoni,Madhya Pradesh,456,23,1.8,1.2,
410,Dhamtari,Chhattisgarh,412,22,1.8,1.1,
397,Malkangiri,Odisha,399,21,1.8,1.7,
604,Salem,Tamil Nadu,608,33,1.7,1.8,1.7
588,Malappuram,Kerala,592,32,1.7,1.5,1.9
269,Peren,Nagaland,271,13,1.7,2.0,
409,Mahasamund,Chhattisgarh,411,22,1.7,1.5,
574,Mysore,Karnataka,577,29,1.7,0.9,2.8
359,Ramgarh,Jharkhand,361,20,1.7,0.4,3.3
224,Munger,Bihar,226,10,1.7,1.4,
364,Gumla,Jharkhand,366,20,1.7,1.7,
217,Saran,Bihar,219,10,1.7,1.6,
387,Gajapati,Odisha,389,21,1.7,1.7,
448,Katni,Madhya Pradesh,450,23,1.7,0.9,
382,Anugul,Odisha,384,21,1.6,1.3,
609,Karur,Tamil Nadu,613,33,1.6,0.5,3.1
555,Bidar,Karnataka,558,29,1.6,1.5,
584,Kasaragod,Kerala,588,32,1.6,2.8,0.0
458,Shahdol,Madhya Pradesh,460,23,1.5,0.7,
230,Buxar,Bihar,232,10,1.5,1.3,
219,Samastipur,Bihar,221,10,1.5,1.4,
426,Damoh,Madhya Pradesh,428,23,1.5,1.1,
322,Baksa,Assam,324,18,1.5,1.5,
319,Kamrup,Assam,321,18,1.5,1.5,
620,Theni,Tamil Nadu,624,33,1.5,0.7,1.9
589,Palakkad,Kerala,593,32,1.5,1.5,
257,Lohit,Arunachal Pradesh,259,12,1.5,1.2,
592,Idukki,Kerala,596,32,1.5,1.5,
306,Dhemaji,Assam,308,18,1.4,1.0,
614,Nagapattinam,Tamil Nadu,618,33,1.4,0.8,
600,Kancheepuram,Tamil Nadu,604,33,1.4,0.4,1.9
491,Tapi,Gujarat,493,24,1.4,1.2,
208,Kishanganj,Bihar,210,10,1.4,1.2,
572,Dakshina Kannada,Karnataka,575,29,1.4,1.3,1.5
275,Imphal West,Manipur,277,14,1.4,1.5,1.4
309,Sivasagar,Assam,311,18,1.4,1.3,
280,Kolasib,Mizoram,282,15,1.4,1.0,1.5
324,Udalguri,Assam,326,18,1.4,0.5,
313,Dima Hasao,Assam,315,18,1.4,0.2,
571,Hassan,Karnataka,574,29,1.3,0.7,
347,Giridih,Jharkhand,349,20,1.3,1.4,
203,Sheohar,Bihar,205,10,1.3,1.2,
350,Sahibganj,Jharkhand,352,20,1.3,1.2,
305,Lakhimpur,Assam,307,18,1.3,1.5,
483,Dohad,Gujarat,485,24,1.3,0.7,
563,Chitradurga,Karnataka,566,29,1.3,0.2,
