,district,state,district_census_code,state_census_code,total,rural,urban
135,Jyotiba Phule Nagar,Uttar Pradesh,137,9,29.2,27.1,
90,North East,NCT Delhi,92,7,26.7,,26.7
138,Ghaziabad,Uttar Pradesh,140,9,26.4,19.6,28.7
50,Rup Nagar,Punjab,51,3,24.3,21.8,
130,Saharanpur,Uttar Pradesh,132,9,24.2,22.3,28.0
39,Fatehgarh Sahib,Punjab,40,3,24.1,22.7,27.1
58,Dehradun,Uttarakhand,60,5,23.6,18.0,26.8
132,Bijnor,Uttar Pradesh,134,9,23.3,22.6,
133,Moradabad,Uttar Pradesh,135,9,23.2,21.3,26.8
94,West,NCT Delhi,96,7,22.8,,22.8
131,Muzaffarnagar,Uttar Pradesh,133,9,22.7,21.6,
47,Patiala,Punjab,48,3,22.4,18.6,26.9
48,Amritsar,Punjab,49,3,22.1,17.0,26.3
38,Sahid Bhagat Singh Nagar,Punjab,39,3,21.9,22.9,18.0
71,Kaithal,Haryana,73,6,21.6,18.5,
51,Sahibzada Ajit Singh Nagar,Punjab,52,3,21.5,17.3,24.9
149,Pilibhit,Uttar Pradesh,151,9,21.5,19.8,
136,Meerut,Uttar Pradesh,138,9,21.1,18.8,22.2
41,Moga,Punjab,42,3,21.1,20.0,
67,Panchkula,Haryana,69,6,20.9,14.9,24.8
148,Bareilly,Uttar Pradesh,150,9,20.5,18.0,24.2
95,South West,NCT Delhi,97,7,20.4,,20.8
45,Bathinda,Punjab,46,3,20.4,18.9,22.3
32,Shimla,Himachal Pradesh,33,2,20.3,19.5,
34,Gurdaspur,Punjab,35,3,20.1,19.5,
340,Kolkata,West Bengal,342,19,19.7,,19.7
6,Kathua,Jammu & Kashmir,7,1,19.6,18.7,
139,Gautam Buddha Nagar,Uttar Pradesh,141,9,19.5,13.5,22.5
20,Jammu,Jammu & Kashmir,21,1,19.3,16.1,23.0
52,Sangrur,Punjab,53,3,19.2,15.9,
93,Central,NCT Delhi,95,7,19.2,,19.2
140,Bulandshahr,Uttar Pradesh,142,9,19.1,16.8,
77,Sirsa,Haryana,79,6,18.9,18.2,
72,Karnal,Haryana,74,6,18.8,17.8,21.1
162,Kanpur Nagar,Uttar Pradesh,164,9,18.6,9.5,22.5
36,Jalandhar,Punjab,37,3,18.4,13.1,22.7
134,Rampur,Uttar Pradesh,136,9,18.3,17.8,
37,Hoshiarpur,Punjab,38,3,18.2,17.3,
40,Ludhiana,Punjab,41,3,18.0,17.4,18.3
137,Baghpat,Uttar Pradesh,139,9,18.0,16.4,
99,Bikaner,Rajasthan,101,8,18.0,15.1,22.6
66,Hardwar,Uttarakhand,68,5,17.7,16.4,19.2
35,Kapurthala,Punjab,36,3,17.6,15.9,20.6
69,Yamunanagar,Haryana,71,6,17.3,15.1,20.7
65,Udham Singh Nagar,Uttarakhand,67,5,17.3,14.7,21.2
91,East,NCT Delhi,93,7,17.3,,17.3
144,Agra,Uttar Pradesh,146,9,17.3,13.1,21.7
49,Tarn Taran,Punjab,50,3,17.3,15.9,
18,Udhampur,Jammu & Kashmir,19,1,17.1,16.7,
155,Lucknow,Uttar Pradesh,157,9,16.9,11.2,19.5
70,Kurukshetra,Haryana,72,6,16.7,16.6,
125,Kota,Rajasthan,127,8,16.3,9.1,20.9
141,Aligarh,Uttar Pradesh,143,9,16.1,12.3,23.1
1,Badgam,Jammu & Kashmir,2,1,16.0,15.0,
96,South,NCT Delhi,98,7,15.5,,15.5
88,North West,NCT Delhi,90,7,15.5,,15.4
46,Mansa,Punjab,47,3,15.4,12.8,
200,Kanshiram Nagar,Uttar Pradesh,202,9,15.2,12.8,
42,Firozpur,Punjab,43,3,15.1,14.1,
89,North,NCT Delhi,91,7,15.0,,15.1
25,Kullu,Himachal Pradesh,26,2,14.8,14.1,
43,Muktsar,Punjab,44,3,14.6,12.6,
23,Kangra,Himachal Pradesh,24,2,14.5,14.3,
76,Fatehabad,Haryana,78,6,14.3,13.5,
28,Una,Himachal Pradesh,29,2,14.2,14.8,
57,Tehri Garhwal,Uttarakhand,59,5,14.1,10.2,
64,Nainital,Uttarakhand,66,5,13.7,10.0,18.8
150,Shahjahanpur,Uttar Pradesh,152,9,13.7,11.9,
33,Kinnaur,Himachal Pradesh,34,2,13.4,13.4,
497,Buldhana,Maharashtra,500,27,13.4,11.8,
30,Solan,Himachal Pradesh,31,2,13.2,13.4,
59,Garhwal,Uttarakhand,61,5,13.2,11.6,
502,Nagpur,Maharashtra,505,27,13.0,7.8,15.3
108,Jaipur,Rajasthan,110,8,12.8,7.2,18.2
146,Mainpuri,Uttar Pradesh,148,9,12.7,11.0,
31,Sirmaur,Himachal Pradesh,32,2,12.6,11.9,
9,Srinagar,Jammu & Kashmir,10,1,12.6,,12.7
10,Ganderbal,Jammu & Kashmir,11,1,12.6,11.5,
442,Bhopal,Madhya Pradesh,444,23,12.5,,14.5
79,Bhiwani,Haryana,81,6,12.4,10.6,
121,Rajsamand,Rajasthan,123,8,12.4,9.0,
97,Ganganagar,Rajasthan,99,8,12.3,11.2,
80,Rohtak,Haryana,82,6,12.2,8.4,17.5
512,Aurangabad,Maharashtra,515,27,12.2,10.6,13.9
142,Mahamaya Nagar,Uttar Pradesh,144,9,12.2,10.7,
44,Faridkot,Punjab,45,3,12.1,9.5,19.6
75,Jind,Haryana,77,6,12.1,11.2,
53,Barnala,Punjab,54,3,12.0,9.5,17.3
145,Firozabad,Uttar Pradesh,147,9,11.9,9.9,15.4
62,Almora,Uttarakhand,64,5,11.8,10.7,
60,Pithoragarh,Uttarakhand,62,5,11.8,8.7,
78,Hisar,Haryana,80,6,11.8,9.9,16.3
516,Mumbai,Maharashtra,519,27,11.7,,11.7
68,Ambala,Haryana,70,6,11.6,10.1,13.2
