,district,state,district_census_code,state_census_code,total,rural,urban
582,North Goa,Goa,585,30,48.9,40.5,55.3
634,Nicobar,Andaman & Nicobar Islands,638,35,48.1,48.1,
407,Durg,Chhattisgarh,409,22,46.7,52.1,40.0
552,Belgaum,Karnataka,555,29,46.6,49.2,
363,Khunti,Jharkhand,365,20,46.3,47.7,
39,Fatehgarh Sahib,Punjab,40,3,46.1,46.4,45.6
34,Gurdaspur,Punjab,35,3,45.9,50.7,
406,Rajnandgaon,Chhattisgarh,408,22,45.7,43.3,
37,Hoshiarpur,Punjab,38,3,43.1,40.0,
70,Kurukshetra,Haryana,72,6,42.7,38.2,
43,Muktsar,Punjab,44,3,42.6,45.1,
293,South Garo Hills,Meghalaya,295,17,42.4,45.1,
49,Tarn Taran,Punjab,50,3,42.1,46.4,
627,Krishnagiri,Tamil Nadu,631,33,41.6,41.5,
612,Ariyalur,Tamil Nadu,616,33,41.0,39.8,
347,Giridih,Jharkhand,349,20,40.8,39.6,
415,Bijapur,Chhattisgarh,417,22,40.2,40.2,
456,Guna,Madhya Pradesh,458,23,39.7,45.1,
628,Coimbatore,Tamil Nadu,632,33,38.5,,34.1
72,Karnal,Haryana,74,6,38.4,42.7,28.8
633,Karaikal,Puducherry,637,34,38.2,35.3,41.1
620,Theni,Tamil Nadu,624,33,38.1,31.4,41.7
630,Yanam,Puducherry,634,34,37.8,,37.8
297,Jaintia Hills,Meghalaya,299,17,37.4,37.4,
636,South Andaman,Andaman & Nicobar Islands,640,35,37.4,33.6,39.2
607,The Nilgiris,Tamil Nadu,611,33,36.9,28.8,41.6
358,Hazaribagh,Jharkhand,360,20,36.7,33.0,
583,South Goa,Goa,586,30,36.2,30.5,40.3
53,Barnala,Punjab,54,3,36.0,37.8,32.2
360,Dumka,Jharkhand,362,20,35.8,34.0,
392,Nuapada,Odisha,394,21,35.6,35.4,
631,Puducherry,Puducherry,635,34,35.6,28.7,38.4
619,Madurai,Tamil Nadu,623,33,34.9,35.8,34.3
412,Bastar,Chhattisgarh,414,22,34.6,33.4,
404,Bilaspur,Chhattisgarh,406,22,34.6,32.7,
369,Jharsuguda,Odisha,371,21,34.5,37.9,29.3
443,Sehore,Madhya Pradesh,445,23,34.4,32.2,
608,Dindigul,Tamil Nadu,612,33,34.2,33.1,36.0
395,Nabarangapur,Odisha,397,21,34.2,35.6,
435,Dewas,Madhya Pradesh,437,23,34.1,33.4,
602,Tiruvannamalai,Tamil Nadu,606,33,34.0,38.6,
35,Kapurthala,Punjab,36,3,33.7,32.9,35.2
46,Mansa,Punjab,47,3,33.7,37.3,
477,Junagadh,Gujarat,479,24,33.4,33.0,34.2
599,Chennai,Tamil Nadu,603,33,33.3,,33.3
444,Raisen,Madhya Pradesh,446,23,33.2,34.6,
579,Chikkaballapura,Karnataka,582,29,33.2,28.6,
391,Balangir,Odisha,393,21,33.1,32.3,
372,Sundargarh,Odisha,374,21,32.8,37.1,25.0
613,Cuddalore,Tamil Nadu,617,33,32.6,34.2,29.8
606,Erode,Tamil Nadu,610,33,32.5,30.0,35.1
42,Firozpur,Punjab,43,3,32.4,34.0,
609,Karur,Tamil Nadu,613,33,32.4,33.8,30.2
421,Shivpuri,Madhya Pradesh,423,23,32.1,32.4,
635,North & Middle Andaman,Andaman & Nicobar Islands,639,35,32.0,33.2,
71,Kaithal,Haryana,73,6,31.9,30.2,
605,Namakkal,Tamil Nadu,609,33,31.9,29.0,35.7
410,Dhamtari,Chhattisgarh,412,22,31.6,33.4,
616,Thanjavur,Tamil Nadu,620,33,31.6,31.9,30.8
600,Kancheepuram,Tamil Nadu,604,33,31.4,36.1,29.0
486,Bharuch,Gujarat,488,24,31.3,26.2,41.5
75,Jind,Haryana,77,6,31.3,25.2,
629,Tiruppur,Tamil Nadu,633,33,31.0,27.2,33.0
417,Morena,Madhya Pradesh,419,23,31.0,31.1,
413,Narayanpur,Chhattisgarh,415,22,30.8,28.3,
361,Jamtara,Jharkhand,363,20,30.8,28.0,
464,Khandwa (East Nimar),Madhya Pradesh,466,23,30.7,33.2,
563,Chitradurga,Karnataka,566,29,30.5,27.9,
50,Rup Nagar,Punjab,51,3,30.4,27.6,
457,Ashoknagar,Madhya Pradesh,459,23,30.3,27.2,
488,Navsari,Gujarat,490,24,30.3,29.4,32.4
389,Baudh,Odisha,391,21,30.2,30.4,
501,Wardha,Maharashtra,504,27,30.1,31.8,27.6
409,Mahasamund,Chhattisgarh,411,22,30.0,31.1,
472,Ahmadabad,Gujarat,474,24,29.9,,30.5
617,Pudukkottai,Tamil Nadu,621,33,29.8,31.3,
411,Uttar Bastar Kanker,Chhattisgarh,413,22,29.7,31.8,
621,Virudhunagar,Tamil Nadu,625,33,29.6,25.6,33.7
44,Faridkot,Punjab,45,3,29.5,31.0,25.2
577,Yadgir,Karnataka,580,29,29.4,19.5,
388,Kandhamal,Odisha,390,21,29.3,30.0,
452,Mandla,Madhya Pradesh,454,23,29.1,27.2,
626,Dharmapuri,Tamil Nadu,630,33,29.1,33.1,
495,Dhule,Maharashtra,498,27,29.1,32.3,
402,Korba,Chhattisgarh,404,22,29.0,28.4,30.2
545,Guntur,Andhra Pradesh,548,28,28.7,36.4,18.1
603,Viluppuram,Tamil Nadu,607,33,28.7,29.5,
611,Perambalur,Tamil Nadu,615,33,28.5,30.3,
471,Gandhinagar,Gujarat,473,24,28.3,17.5,38.9
505,Gadchiroli,Maharashtra,508,27,28.3,30.1,
520,Bid,Maharashtra,523,27,28.1,30.0,
618,Sivaganga,Tamil Nadu,622,33,28.0,26.9,30.6
76,Fatehabad,Haryana,78,6,28.0,29.3,
18,Udhampur,Jammu & Kashmir,19,1,27.9,29.0,
36,Jalandhar,Punjab,37,3,27.9,21.6,33.8
622,Ramanathapuram,Tamil Nadu,626,33,27.8,28.1,27.3
398,Korea,Chhattisgarh,400,22,27.8,27.9,27.4
463,Alirajpur,Madhya Pradesh,465,23,27.8,29.0,
598,Thiruvallur,Tamil Nadu,602,33,27.8,31.9,25.7
614,Nagapattinam,Tamil Nadu,618,33,27.7,26.7,
382,Anugul,Odisha,384,21,27.7,28.7,
516,Mumbai,Maharashtra,519,27,27.7,,27.7
69,Yamunanagar,Haryana,71,6,27.7,27.9,27.5
438,Khargone (West Nimar),Madhya Pradesh,440,23,27.7,23.8,
47,Patiala,Punjab,48,3,27.6,24.5,30.6
632,Mahe,Puducherry,636,34,27.6,,27.6
573,Kodagu,Karnataka,576,29,27.6,27.4,
368,Bargarh,Odisha,370,21,27.6,26.1,
447,Hoshangabad,Madhya Pradesh,449,23,27.5,28.6,25.5
74,Sonipat,Haryana,76,6,27.5,22.2,38.4
468,Patan,Gujarat,470,24,27.5,29.9,
67,Panchkula,Haryana,69,6,27.4,26.3,28.0
294,West Khasi Hills,Meghalaya,296,17,27.4,25.1,
374,Mayurbhanj,Odisha,376,21,27.4,27.6,
615,Thiruvarur,Tamil Nadu,619,33,27.3,26.7,
610,Tiruchirappalli,Tamil Nadu,614,33,27.2,22.5,31.5
128,Udaipur,Rajasthan,130,8,27.1,27.7,
449,Jabalpur,Madhya Pradesh,451,23,27.1,25.4,28.0
78,Hisar,Haryana,80,6,27.1,31.2,19.2
473,Surendranagar,Gujarat,475,24,27.1,30.8,
156,Rae Bareli,Uttar Pradesh,158,9,27.0,28.1,
442,Bhopal,Madhya Pradesh,444,23,27.0,,26.9
378,Jagatsinghapur,Odisha,380,21,27.0,28.2,
393,Kalahandi,Odisha,395,21,26.9,27.8,
550,Anantapur,Andhra Pradesh,553,28,26.9,26.1,
364,Gumla,Jharkhand,366,20,26.9,28.6,
351,Pakur,Jharkhand,353,20,26.7,26.3,
73,Panipat,Haryana,75,6,26.6,18.4,34.6
506,Chandrapur,Maharashtra,509,27,26.6,20.0,36.2
371,Debagarh,Odisha,373,21,26.6,26.3,
446,Harda,Madhya Pradesh,448,23,26.5,27.8,
480,Anand,Gujarat,482,24,26.5,31.2,17.1
311,Golaghat,Assam,313,18,26.4,25.3,
507,Yavatmal,Maharashtra,510,27,26.1,27.7,
315,Karimganj,Assam,317,18,26.1,26.0,
51,Sahibzada Ajit Singh Nagar,Punjab,52,3,25.9,23.7,27.6
387,Gajapati,Odisha,389,21,25.8,25.1,
163,Jalaun,Uttar Pradesh,165,9,25.8,22.7,
624,Tirunelveli,Tamil Nadu,628,33,25.6,26.9,24.5
381,Dhenkanal,Odisha,383,21,25.4,24.8,
419,Gwalior,Madhya Pradesh,421,23,25.3,24.1,25.9
555,Bidar,Karnataka,558,29,25.2,25.1,
160,Auraiya,Uttar Pradesh,162,9,25.2,25.8,
584,Kasaragod,Kerala,588,32,25.2,30.5,18.3
436,Dhar,Madhya Pradesh,438,23,25.1,22.9,
68,Ambala,Haryana,70,6,25.0,24.7,25.4
515,Mumbai Suburban,Maharashtra,518,27,24.9,,24.9
82,Mahendragarh,Haryana,84,6,24.9,24.6,
305,Lakhimpur,Assam,307,18,24.7,23.0,
416,Sheopur,Madhya Pradesh,418,23,24.7,23.2,
566,Udupi,Karnataka,569,29,24.7,23.4,
503,Bhandara,Maharashtra,506,27,24.7,26.6,
625,Kanniyakumari,Tamil Nadu,629,33,24.6,,21.9
559,Dharwad,Karnataka,562,29,24.4,18.7,28.3
116,Pali,Rajasthan,118,8,24.4,28.5,
420,Datia,Madhya Pradesh,422,23,24.2,21.3,
104,Dhaulpur,Rajasthan,106,8,24.2,26.4,
77,Sirsa,Haryana,79,6,24.2,30.1,
228,Patna,Bihar,230,10,24.2,21.1,27.3
526,Sindhudurg,Maharashtra,529,27,24.1,24.6,
353,Bokaro,Jharkhand,355,20,24.1,22.5,25.6
355,Purbi Singhbhum,Jharkhand,357,20,24.0,21.3,26.2
540,Vizianagaram,Andhra Pradesh,543,28,24.0,24.4,
548,Y.S.R. Cuddapah,Andhra Pradesh,551,28,24.0,23.4,24.8
370,Sambalpur,Odisha,372,21,23.9,23.1,
153,Hardoi,Uttar Pradesh,155,9,23.9,23.7,
80,Rohtak,Haryana,82,6,23.9,24.5,23.0
346,Kodarma,Jharkhand,348,20,23.9,18.8,
390,Subarnapur,Odisha,392,21,23.8,24.2,
314,Cachar,Assam,316,18,23.8,27.0,
396,Koraput,Odisha,398,21,23.7,24.0,
125,Kota,Rajasthan,127,8,23.6,30.6,19.2
