district,state,district_census_code,state_census_code,total,rural,urban
Nagaur,Rajasthan,112,8,9395,8271,
Jodhpur,Rajasthan,113,8,22172,26504,12895
Jaisalmer,Rajasthan,114,8,1473,1474,
Barmer,Rajasthan,115,8,1238,1268,
Jalor,Rajasthan,116,8,927,894,
Sirohi,Rajasthan,117,8,1216,1263,
Pali,Rajasthan,118,8,904,846,
Ajmer,Rajasthan,119,8,1463,1273,1940
Tonk,Rajasthan,120,8,805,920,
Bundi,Rajasthan,121,8,674,756,
Bhilwara,Rajasthan,122,8,1014,1073,
Rajsamand,Rajasthan,123,8,1507,1469,
Dungarpur,Rajasthan,124,8,1359,1302,
Banswara,Rajasthan,125,8,5033,2551,
Chittaurgarh,Rajasthan,126,8,842,875,
Kota,Rajasthan,127,8,1050,915,1176
Baran,Rajasthan,128,8,5674,6741,
Jhalawar,Rajasthan,129,8,846,763,
Udaipur,Rajasthan,130,8,947,890,
Pratapgarh,Rajasthan,131,8,758,777,
Saharanpur,Uttar Pradesh,132,9,2146,1990,2763
Muzaffarnagar,Uttar Pradesh,133,9,1524,1580,
Bijnor,Uttar Pradesh,134,9,4615,4850,
Moradabad,Uttar Pradesh,135,9,1760,1683,-2106
Rampur,Uttar Pradesh,136,9,1164,1258,
Jyotiba Phule Nagar,Uttar Pradesh,137,9,938,919,
Meerut,Uttar Pradesh,138,9,1026,934,1148
Baghpat,Uttar Pradesh,139,9,1083,1122,
Ghaziabad,Uttar Pradesh,140,9,1981,1956,1993
Gautam Buddha Nagar,Uttar Pradesh,141,9,2563,1315,3063
Bulandshahr,Uttar Pradesh,142,9,3482,3878,
Aligarh,Uttar Pradesh,143,9,2073,1109,5095
Mahamaya Nagar,Uttar Pradesh,144,9,1236,1142,
Mathura,Uttar Pradesh,145,9,1328,1401,
Agra,Uttar Pradesh,146,9,2348,2005,3212
Firozabad,Uttar Pradesh,147,9,1441,1261,2180
Mainpuri,Uttar Pradesh,148,9,1627,1611,
Budaun,Uttar Pradesh,149,9,1255,1263,
Bareilly,Uttar Pradesh,150,9,998,872,-1538
Pilibhit,Uttar Pradesh,151,9,807,806,
Shahjahanpur,Uttar Pradesh,152,9,1043,1025,
Kheri,Uttar Pradesh,153,9,1383,1419,
Sitapur,Uttar Pradesh,154,9,1568,1409,
Hardoi,Uttar Pradesh,155,9,1488,1556,
Unnao,Uttar Pradesh,156,9,1130,1014,
Lucknow,Uttar Pradesh,157,9,1752,1234,2257
Rae Bareli,Uttar Pradesh,158,9,1691,1665,
Farrukhabad,Uttar Pradesh,159,9,1331,1207,
Kannauj,Uttar Pradesh,160,9,1314,1262,
Etawah,Uttar Pradesh,161,9,1312,1280,
Auraiya,Uttar Pradesh,162,9,1732,1830,
Kanpur Dehat,Uttar Pradesh,163,9,1090,1060,
Kanpur Nagar,Uttar Pradesh,164,9,1744,1206,-2296
Jalaun,Uttar Pradesh,165,9,3832,1368,
Jhansi,Uttar Pradesh,166,9,1401,1171,1930
Lalitpur,Uttar Pradesh,167,9,536,474,
Hamirpur,Uttar Pradesh,168,9,3568,3947,
