district,state,district_census_code,state_census_code,total,rural,urban
Chittoor,Andhra Pradesh,554,28,1686,1503,
Belgaum,Karnataka,555,29,4175,4589,
Bagalkot,Karnataka,556,29,1541,1205,-2471
Bijapur,Karnataka,557,29,2490,2420,
Bidar,Karnataka,558,29,5358,5323,
Raichur,Karnataka,559,29,1471,1574,
Koppal,Karnataka,560,29,1681,1725,
Gadag,Karnataka,561,29,3744,3925,3380
Dharwad,Karnataka,562,29,2946,3029,-2850
Uttara Kannada,Karnataka,563,29,2609,2247,
Haveri,Karnataka,564,29,2418,2630,
Bellary,Karnataka,565,29,3005,2853,3343
Chitradurga,Karnataka,566,29,4427,4569,
Davanagere,Karnataka,567,29,2566,2925,-1501
Shimoga,Karnataka,568,29,6688,6411,-7459
Udupi,Karnataka,569,29,3179,-3449,
Chikmagalur,Karnataka,570,29,2965,3191,
Tumkur,Karnataka,571,29,4683,4921,
Bangalore,Karnataka,572,29,7469,,7995
Mandya,Karnataka,573,29,2448,2195,
Hassan,Karnataka,574,29,3289,3960,
Dakshina Kannada,Karnataka,575,29,3163,-3812,-2369
Kodagu,Karnataka,576,29,3739,3774,
Mysore,Karnataka,577,29,4456,4544,4304
Chamarajanagar,Karnataka,578,29,3234,3175,
Gulbarga,Karnataka,579,29,1626,1919,1063
Yadgir,Karnataka,580,29,1640,1657,
Kolar,Karnataka,581,29,3913,3879,3986
Chikkaballapura,Karnataka,582,29,3350,3213,
Bangalore Rural,Karnataka,583,29,4634,4582,
Ramanagara,Karnataka,584,29,2159,2080,
North Goa,Goa,585,30,6818,9547,5200
South Goa,Goa,586,30,1758,624,-2489
Kasaragod,Kerala,588,32,6659,-5850,*
Kannur,Kerala,589,32,7044,*,-5097
Wayanad,Kerala,590,32,4232,4124,
Kozhikode,Kerala,591,32,5068,*,-5574
Malappuram,Kerala,592,32,6202,-5462,-6864
Palakkad,Kerala,593,32,4337,-4971,
Thrissur,Kerala,594,32,5053,*,*
Ernakulam,Kerala,595,32,0,*,*
Idukki,Kerala,596,32,6411,-6515,
Kottayam,Kerala,597,32,6260,-5546,
Alappuzha,Kerala,598,32,9472,*,*
Pathanamthitta,Kerala,599,32,7467,-7593,
Kollam,Kerala,600,32,10299,-8692,-12114
Thiruvananthapuram,Kerala,601,32,8788,-9376,*
Thiruvallur,Tamil Nadu,602,33,2075,1956,-2172
Chennai,Tamil Nadu,603,33,1818,,1818
Kancheepuram,Tamil Nadu,604,33,2617,1801,-3257
Vellore,Tamil Nadu,605,33,1479,1794,1167
Tiruvannamalai,Tamil Nadu,606,33,1966,1996,
Viluppuram,Tamil Nadu,607,33,1727,1687,
Salem,Tamil Nadu,608,33,2233,2073,2446
Namakkal,Tamil Nadu,609,33,2362,2456,2240
Erode,Tamil Nadu,610,33,2439,2230,2653
The Nilgiris,Tamil Nadu,611,33,2169,2321,2107
Dindigul,Tamil Nadu,612,33,2344,2291,2487
Karur,Tamil Nadu,613,33,2247,2367,1977
Tiruchirappalli,Tamil Nadu,614,33,1160,1196,-1116
Perambalur,Tamil Nadu,615,33,2570,2588,
Ariyalur,Tamil Nadu,616,33,2662,2767,
Cuddalore,Tamil Nadu,617,33,3150,2982,3766
Nagapattinam,Tamil Nadu,618,33,3054,3225,
Thiruvarur,Tamil Nadu,619,33,3043,2906,
Thanjavur,Tamil Nadu,620,33,1921,1671,2494
Pudukkottai,Tamil Nadu,621,33,3444,3841,
Sivaganga,Tamil Nadu,622,33,3602,3075,-5675
Madurai,Tamil Nadu,623,33,3141,2752,3379
Theni,Tamil Nadu,624,33,2036,1999,-2065
Virudhunagar,Tamil Nadu,625,33,6539,8621,-3897
Ramanathapuram,Tamil Nadu,626,33,3949,3267,-6293
Thoothukkudi,Tamil Nadu,627,33,2585,-3438,-1873
Tirunelveli,Tamil Nadu,628,33,4552,-5150,-3480
Kanniyakumari,Tamil Nadu,629,33,5025,,-6346
Dharmapuri,Tamil Nadu,630,33,1796,1855,
Krishnagiri,Tamil Nadu,631,33,2108,1900,
Coimbatore,Tamil Nadu,632,33,2429,,1923
Tiruppur,Tamil Nadu,633,33,2375,1752,2625
Yanam,Puducherry,634,34,2514,,2514
Puducherry,Puducherry,635,34,1908,1507,2080
Mahe,Puducherry,636,34,2594,,2594
Karaikal,Puducherry,637,34,2311,1972,2691
Nicobar,Andaman & Nicobar Islands,638,35,1787,1787,
North & Middle Andaman,Andaman & Nicobar Islands,639,35,1082,1107,
South Andaman,Andaman & Nicobar Islands,640,35,1279,1965,798
